Cluster,dG,dHap,dHpol,dS
1,-3527.33,4859.67,-6083.1,-3124.07
2,-4398.51,6292.12,-8649.36,-4101.96
3,-6385.28,6494.8,-11496.37,-4885.58
4,-7473.9,10902.42,-9443.36,-4065.52
5,-8548.46,8756.6,-12388.62,-4356.47
6,-9822.5,9078.1,-15059.45,-5225.9
7,-10527.03,14045.29,-12487.24,-4573.54
8,-12425.67,14167.25,-16275.93,-5563.24
